3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,21,20,20,20,20,20,20,20,20,20,20,21,3,3,3,3,3,3,3,3,21,20,20,20,20,20,20,20,20,20,20,21,3,3,3
3,3,3,3,3,21,36,36,36,36,36,36,36,36,36,36,21,3,3,3,3,3,3,3,3,21,36,36,36,36,36,36,36,36,36,36,21,3,3,3
3,3,3,3,3,21,4,4,4,4,4,4,4,4,4,4,21,3,3,3,3,3,3,3,3,21,4,4,4,4,4,4,4,4,4,4,21,3,3,3
3,3,3,3,3,21,4,4,4,4,4,4,4,4,4,4,21,3,3,3,3,3,3,3,3,21,4,4,4,4,4,4,4,4,4,4,21,3,3,3
3,3,3,3,3,21,4,4,4,4,4,4,4,4,4,4,20,3,3,3,3,3,3,3,3,20,4,4,4,4,4,4,4,4,4,4,20,3,3,3
3,3,3,3,3,21,4,4,4,4,4,4,4,4,4,4,36,3,3,3,3,3,3,3,3,36,4,4,4,4,4,4,4,4,4,4,36,3,3,3
3,3,3,3,3,21,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3
3,3,3,3,3,21,4,4,4,4,4,4,4,4,4,4,21,3,3,3,3,3,3,3,3,21,4,4,4,4,4,4,4,4,4,4,21,3,3,3
3,3,3,3,3,21,4,4,4,4,4,4,4,4,4,4,21,3,3,3,3,3,3,3,3,21,4,4,4,4,4,4,4,4,4,4,21,3,3,3
